pub_date,opinion_type_id,opinion_type,qmt_code
3/18/2023,1,无保留,600332.SH
3/18/2023,1,无保留,600388.SH
3/18/2023,1,无保留,600408.SH
3/18/2023,1,无保留,600507.SH
3/18/2023,1,无保留,600719.SH
3/18/2023,1,无保留,600861.SH
3/18/2023,1,无保留,600865.SH
3/18/2023,1,无保留,002080.SZ
3/18/2023,1,无保留,002134.SZ
3/18/2023,1,无保留,002162.SZ
3/18/2023,1,无保留,002188.SZ
3/18/2023,1,无保留,002233.SZ
3/18/2023,1,无保留,002419.SZ
3/18/2023,1,无保留,300006.SZ
3/18/2023,1,无保留,300059.SZ
3/18/2023,1,无保留,300087.SZ
3/18/2023,1,无保留,300146.SZ
3/18/2023,1,无保留,002532.SZ
3/18/2023,1,无保留,300211.SZ
3/18/2023,1,无保留,300286.SZ
3/18/2023,1,无保留,300346.SZ
3/18/2023,1,无保留,603993.SH
3/18/2023,1,无保留,601608.SH
3/18/2023,1,无保留,603615.SH
3/18/2023,1,无保留,603758.SH
3/18/2023,1,无保留,002879.SZ
3/18/2023,1,无保留,603267.SH
3/18/2023,1,无保留,002972.SZ
3/18/2023,1,无保留,688233.SH
3/18/2023,1,无保留,688323.SH
3/20/2023,1,无保留,600486.SH
3/20/2023,1,无保留,002629.SZ
3/20/2023,1,无保留,002703.SZ
3/20/2023,1,无保留,301380.SZ
3/20/2023,1,无保留,688018.SH
3/20/2023,1,无保留,001217.SZ
3/20/2023,1,无保留,301369.SZ
3/20/2023,1,无保留,601061.SH
3/20/2023,1,无保留,001287.SZ
3/20/2023,1,无保留,001367.SZ
3/20/2023,1,无保留,603135.SH
3/20/2023,1,无保留,603125.SH
3/20/2023,1,无保留,001328.SZ
3/21/2023,1,无保留,000429.SZ
3/21/2023,1,无保留,000553.SZ
3/21/2023,1,无保留,000782.SZ
3/21/2023,1,无保留,000810.SZ
3/21/2023,1,无保留,000862.SZ
3/21/2023,1,无保留,600141.SH
3/21/2023,1,无保留,600176.SH
3/21/2023,1,无保留,600269.SH
3/21/2023,1,无保留,600309.SH
3/21/2023,1,无保留,600325.SH
3/21/2023,1,无保留,600577.SH
3/21/2023,1,无保留,600583.SH
3/21/2023,1,无保留,600597.SH
3/21/2023,1,无保留,600618.SH
